household week brand price
2005080 20190112 1 3.07028481969014
2005080 20190112 2 3.50236193087256
2005080 20190112 3 3.25745013150856
2005080 20190112 4 3.41487432821991
2005080 20190112 5 3.37827392455456
2005080 20190112 6 3.33010478194612
2005080 20190112 7 4.17890191570518
2005080 20190112 8 3.21040626108555
2005080 20190112 9 4.13886366339697
2005080 20190112 10 3.02839812531365
2005080 20190112 11 3.7597829073342
2005080 20190112 12 3.06782746610626
2005080 20190112 13 2.25742391865267
2005080 20190112 14 3.22461840507378
2005080 20190112 15 3.05026891538207
2005080 20190112 16 3.10282540305743
2005080 20190112 17 3.23722284742185
2005080 20190112 18 3.26688612278232
2005080 20190112 19 2.92945571831702
2005080 20190112 20 3.07234816865316
2005080 20190112 21 2.66083129706489
2005080 20190112 22 3.15001077381846
2005080 20190112 23 3.62953118772168
2005080 20190112 24 4.07682035833938
2005080 20190112 25 3.25884047379398
2005080 20190112 26 3.29026233252737
2005080 20190112 27 4.00417218034025
2005080 20190112 28 3.81114525677317
2005080 20190112 29 3.2275260058851
2005080 20190112 30 2.78118093004111
2005080 20190112 31 2.82347766339569
2005080 20190112 32 3.12558233834892
2005080 20190112 33 3.10597094389566
2005080 20190112 34 3.11072076015503
2005080 20190112 35 2.9082321954977
2005080 20190112 36 3.08805468754336
2005080 20190112 37 3.12453424072893
2005080 20190112 38 3.86073509506178
2005080 20190112 39 3.5104960797254
2005080 20190112 40 3.05991176076804
2005080 20190112 41 2.6410016502985
2005080 20190112 42 3.58975787842884
2005080 20190112 43 3.13363979304156
2005080 20190112 44 3.27645953426162
2005080 20190112 45 2.49620975718176
2005080 20190112 46 2.73913882584238
2005080 20190112 47 2.78604877148145
2005080 20190112 48 7.40403574553225
2005080 20190112 49 2.77922663272844
2005080 20190112 50 6.61296324701109
2005080 20190126 1 3.50606810233443
2005080 20190126 2 2.87172163502045
2005080 20190126 3 3.53901539649537
2005080 20190126 4 3.50938522806476
2005080 20190126 5 3.54441159074681
2005080 20190126 6 3.70589263391635
2005080 20190126 7 4.49994035166969
2005080 20190126 8 3.38133470590423
2005080 20190126 9 2.97035783602794
2005080 20190126 10 3.10789458776925
2005080 20190126 11 3.65924125617374
2005080 20190126 12 2.99384411701764
2005080 20190126 13 2.45073003459395
2005080 20190126 14 3.28572524190615
2005080 20190126 15 3.6046005500248
2005080 20190126 16 3.40634823127549
2005080 20190126 17 3.8579932640731
2005080 20190126 18 3.19324389352511
2005080 20190126 19 3.01915733616597
2005080 20190126 20 3.71601353359052
2005080 20190126 21 3.2075768416319
2005080 20190126 22 3.57522156553349
2005080 20190126 23 3.08248801903539
2005080 20190126 24 3.65917271094155
2005080 20190126 25 3.55005210133164
2005080 20190126 26 3.51931002708388
2005080 20190126 27 3.69979456678999
2005080 20190126 28 3.36008563895987
2005080 20190126 29 3.73040511518833
2005080 20190126 30 2.88436930217428
2005080 20190126 31 3.03389126138154
2005080 20190126 32 3.04899592794876
2005080 20190126 33 3.96848543249691
2005080 20190126 34 3.23011375008921
2005080 20190126 35 3.06117446981397
2005080 20190126 36 3.24597028204731
2005080 20190126 37 3.76540177135126
2005080 20190126 38 2.54722053377704
2005080 20190126 39 3.16623323417458
2005080 20190126 40 3.44936333934148
2005080 20190126 41 3.29526547990259
2005080 20190126 42 4.12765124133284
2005080 20190126 43 3.42110835446073
2005080 20190126 44 3.16239740858313
2005080 20190126 45 2.86909691625213
2005080 20190126 46 2.83513374610164
2005080 20190126 47 3.28460879860642
2005080 20190126 48 7.40195645012976
2005080 20190126 49 2.95252929173839
2005080 20190126 50 6.6941369771196
2005080 20190209 1 3.75171725007059
2005080 20190209 2 3.65258996284884
2005080 20190209 3 3.42792176155582
2005080 20190209 4 3.48951253626614
2005080 20190209 5 3.77722395007649
2005080 20190209 6 3.45004944174958
2005080 20190209 7 4.29122995967864
2005080 20190209 8 3.14063781341431
2005080 20190209 9 3.9629951013456
2005080 20190209 10 3.2348824226683
2005080 20190209 11 3.53318652725309
2005080 20190209 12 3.17896534700241
2005080 20190209 13 2.51824606686001
2005080 20190209 14 2.70672171883176
2005080 20190209 15 3.51365200789547
2005080 20190209 16 2.81929537129577
2005080 20190209 17 3.9464896409201
2005080 20190209 18 2.29581362421685
2005080 20190209 19 3.03328840796027
2005080 20190209 20 3.63440474212
2005080 20190209 21 3.13790860400536
2005080 20190209 22 3.41597418494864
2005080 20190209 23 3.672696914247
2005080 20190209 24 4.12129956944289
2005080 20190209 25 3.33547167650292
2005080 20190209 26 3.40757026410357
2005080 20190209 27 4.06461689820912
2005080 20190209 28 3.70847078955103
2005080 20190209 29 3.75373685963666
2005080 20190209 30 3.09572948255609
2005080 20190209 31 3.02068267105597
2005080 20190209 32 3.08140557241927
2005080 20190209 33 3.81230702697456
2005080 20190209 34 3.81412203753949
2005080 20190209 35 2.94240006106002
2005080 20190209 36 3.60926737052325
2005080 20190209 37 3.70362171575087
2005080 20190209 38 3.84178737449189
2005080 20190209 39 3.25164785351785
2005080 20190209 40 3.67696689271804
2005080 20190209 41 3.35700826785945
2005080 20190209 42 4.34568074331541
2005080 20190209 43 3.45060324755025
2005080 20190209 44 3.1889013645361
2005080 20190209 45 4.00958788441181
2005080 20190209 46 2.83233247378691
2005080 20190209 47 3.49862557105028
2005080 20190209 48 7.39587775028001
2005080 20190209 49 2.77198479837221
2005080 20190209 50 6.69620873651763
2005080 20190223 1 3.03573424574676
2005080 20190223 2 3.63660059546844
2005080 20190223 3 3.12862327128985
2005080 20190223 4 3.25003571239342
